name,address,website
Daniel,"60 E. 65th St., New York 10065",http://www.danielnyc.com
Aquavit,"65 E. 55th St., New York 10022",http://www.aquavit.org
Jean-Georges,"1 Central Park West, New York 10023",http://www.jean-georgesrestaurant.com
The Modern,"9 W. 53rd St., New York 10019",http://www.themodernnyc.com
Acquerello,"1722 Sacramento St., San Francisco 94109",http://www.acquerello.com
Coi,"373 Broadway, San Francisco 94133",http://www.coirestaurant.com
Ko,"8 Extra Pl., New York 10003",http://www.momofuku.com
Marea,"240 Central Park South, New York 10019",http://www.marea-nyc.com
Commis,"3859 Piedmont Ave., Oakland 94601",http://www.commisrestaurant.com
Baumé,"201 S. California Ave., Palo Alto 94306",http://www.maisonbaume.com
Jungsik,"2 Harrison St., New York 10013",http://www.jungsik.com
Acadia,"1639 S. Wabash Ave., Chicago 60616",http://www.acadiachicago.com
Atera,"77 Worth St., New York 10013",http://www.ateranyc.com
Blanca,"261 Moore St., Brooklyn 11206",http://www.blancanyc.com
Ichimura at Uchū,"217 Eldridge St., New York 10002",http://www.uchu.nyc
L'Atelier de Joël Robuchon,"85 Tenth Ave., New York",http://www.joelrobuchonusa.com
Tetsu Basement,"78 Leonard St., New York",http://www.tetsunyc.com
Gabriel Kreuther,"41 W. 42nd St., New York 10036",http://www.gknyc.com
Californios,"3115 22nd St., San Francisco 94110",http://www.californiossf.com
Lazy Bear,"3416 19th St., San Francisco 94110",http://www.lazybearsf.com
minibar,"855 E St. NW, Washington 20004",http://www.minibarbyjoseandres.com
Pineapple and Pearls,"715 8th St. SE, Washington 20003",http://www.pineappleandpearls.com
Oriole,"661 W. Walnut St., Chicago 60661",http://www.oriolechicago.com
Smyth,"177 N. Ada St., Chicago 60607",http://www.smythandtheloyalist.com
Sushi Ginza Onodera,"461 Fifth Ave., New York 10017",http://onodera-group.com
Aska,"47 S. 5th St., Brooklyn 11249",http://www.askanyc.com
